title,director,cast,country,release_year,rating,duration,listed_in,description,platform
Rogue,,"Cole Hauser, Meaghan Rath, Ashley Greene, Sergio Di Zio, Neal McDonough",United States,2017,TV-MA,3,"Action, Drama","No good deed goes unpunished. This season, Ethan Kelly moves back to San Francisco to slay his ghosts and seek redemption. But, helping out Ray's ex-addict younger brother soon puts him in the sights of a vicious, corrupt cop. When Ethan fights back, he's dragged into a hellish labyrinth of criminality and betrayal involving the police, a Fortune 500 company, and the Federal government itself.",Amazon Prime
Rip the Falcon,,"Riley Webber, Max Troutman, SamsPics, Sindri Sigfusson, Pierce Davis",United States,2021,TV-MA,1,Animation,"A lone wandering falcon travels place to place encountering strange, weird and dangerous encounters.",Amazon Prime
Def Comedy Jam,,"Steve Harvey, Kid Capri, James Hannah, Jack Shepherd, Chinnitta Morris (Chocolate)",United States,1992,TV-MA,7,"Arts, Entertainment, and Culture, Comedy","The classic HBO comedy series from Russell Simmons that launched the careers of legendary comics including Bernie Mac, Cedric the Entertainer, Chris Tucker, Dave Chappelle, Tracey Morgan, Chris Rock, Kevin Heart and more.",Amazon Prime
Death and Compromise,,"Brian Elder, Andrea Flowers, John Hall",United States,2021,16+,1,TV Shows,"In a small Texas town, outlaws Luke Young and Lem Sinclair make enemies with a ruthless deputy. The deputy frames the two for murder and sends the sheriff after them. As the rope of justice tightens around their necks, the duo must decide how fare they are willing to go to survive even when the odds are stacked against them.",Amazon Prime
Bill Winston Ministries Draft,,Dr. Bill Winston,United States,2020,TV-G,2,"Drama, Faith and Spirituality, Special Interest","We are living in unprecedented times and events that have occurred in irreversible succession from the past into the present and are prevalent. In Reaching the World: Replenish and Subdue, Dr. Bill Winston helps you to see that now is the time to take heed and know that the Church must arise and understand its vital role in establishing God's Kingdom in the earth.",Amazon Prime
Sinbad,,"Elliot Knight, Elliot Cowan, Marama Corlett, Estella Daniels",United States,2012,13+,1,"Action, Science Fiction","A thrilling, modern, magical reinvention of the famous legend from the Arabian Nights. On the run from his home town of Basra and under a curse from his grandmother for a killing that led to the death of his much-loved brother, the streetwise Sinbad finds himself on an epic and emotional quest to rid himself of the curse and to embrace his destiny.",Amazon Prime
Raymond & Miguel,,"Raymond Pozo, Miguel Céspedes, Brasheli Santos, Pedro Pérez, Urdaneli Capell",United States,2017,TV-14,1,Comedy,"Two foremen, Ciriaco and Macario, work in neighboring farms, whose owners are lawmakers and political rivals. The day to day of these two handymen is developed in these summer houses, facing situations, controversies and difficulties, both with their bosses and with each peculiar worker of the farm causing confusing and funny circumstances.",Amazon Prime
Now Go Build with Werner Vogels,,Dr. Werner Vogels,United States,2020,TV-G,2,"Documentary, Special Interest","From bustling metropolises to the seemingly middle of nowhere, the Now Go Build series seeks out startups around the globe that are using technology in innovative, inspiring, and unexpected ways. Hosted by Dr. Werner Vogels, Amazon CTO, every episode brings you to a new place, and idea to explore.",Amazon Prime
Bluestone Four Two,,"Oliver Chris, Gary Carr, Tony Gardner, Kelly Adams, Stephen Wight, Katie Lyons, Scott Hoatson, Jamie Quinn",United States,2015,16+,3,Comedy,The men and women of bomb disposal unit Bluestone 42 are back in this poignant comedy.,Amazon Prime
Wallpaper,,,United States,2020,ALL,2,"Documentary, Special Interest","Slow TV at its best. Sharecare Windows' International award-winning filmmakers have scoured the world to bring some of the most scenic, ambient background vistas for your office, waiting room, den or wherever you want a relaxing, long-play ambient scenic background. Total relaxation-from beautiful sunrises to sunsets each episode is a full-length recording, no looping clips.",Amazon Prime
The Rev,,"Tiny Lister, Jo-Marie Payton, John Petritz, Tanjareen Martin-Thomas",United States,2021,16+,1,Comedy,"Johnny Star's fans have always adored him and know full well why he's the undisputed ""King of White Soul."" Johnny was adopted by an African-American family and raised with love by Mamma Starr, a no-nonsense black woman with the iron fist and a heart of gold.",Amazon Prime
Packed To The Rafters,,"Rebecca Gibney, Erik Thomson, Michael Caton, George Houvardas, Hugh Sheridan, Angus McLaren",United States,2013,13+,5,"Comedy, Drama, Romance","Centers around Dave and Julie Rafter and their three children Rachel, Ben and Nathan. On the eve of their twenty-fifth wedding anniversary, the couple thinks that they are finally about to have the house to themselves. But home is a very welcome refuge for their children and when unforeseen problems loom, they return like a boomerang.",Amazon Prime
Mumbai Diaries,,"Mohit Raina, Konkona Sen Sharma, Shreya Dhanwanthary, Sikander Khan, Harpreet Singh, Amit Verma, Abhinav Ranga, Akshay Kohli, Kunj Anand, Pushkaraj Chirputkar, Natasha Bharadwaj, Satyajeet Dubey, Mrunmayee Deshpande, Adithi Kalkunte, Gauri Balaji, Prakash Belawadi, Akshar Kothari, Sucharita Juvekar, Mohini Sharma, Harssh Singh, Mishal Raheja, Tina Desai, Indraneel Bhattacharya, Aditi Gulati, Vasundhara Kaul",United States,2021,16+,1,"Drama, Suspense","Mumbai Diaries is a medical thriller set in the Emergency Room of a hospital. The series explores the challenges faced by the medical staff at the hospital as well as other first responders across the city of Mumbai in dealing with a crisis of immense magnitude. In this battle to save lives and heal others, the ones doing the fixing are the most broken.",Amazon Prime
Goliath,,"Billy Bob Thornton, Nina Arianda, Tania Raymonde",United States,2021,TV-MA,4,"Drama, Suspense","In the final season, Billy McBride returns to his roots after Patty takes a job at a prestigious law firm in San Francisco. Together, they try to take down one of America’s most insidious Goliaths: the opioid industry. As Billy deals with his own pain and Patty can’t shake the feeling she’s being used, they will test each other’s loyalty like never before.",Amazon Prime
Gigglebug,,Santtu Karvonen,United States,2017,ALL,2,"Animation, Kids","Everyone knows someone with a special laugh and Gigglebug's is one of the greatest ever. It's his gift, his innate ability and the key to transforming attitudes, which ultimately shakes loose every gummed-up situation he runs across. The stories are set in the oh-so enchanted Greendown Forest, where Gigglebug meets his young animal friends, all dealing with growing up issues.",Amazon Prime
Byron,,"Jonny Lee Miller, Vanessa Redgrave, Natasha Little, Julie Cox",United States,2003,18+,1,Drama,"Byron revolutionized English poetry and died a hero. He became famous overnight when the poetic record of his adventures abroad was received with rapture. This rich historical drama explores the true identity of the wild poetic genius who broke every taboo in the book. Byron's affairs and his unconventionality, however, were always destined to bring him down.",Amazon Prime
Rupi Kaur Live,,Rupi Kaur,United States,2021,TV-NR,1,"Arts, Entertainment, and Culture","As a 21-year-old university student Rupi Kaur wrote, illustrated and self-published her first poetry collection, milk and honey. Next came, the sun and her flowers. These collections have sold over 8 million copies and have been translated into over 42 languages. Rupi’s work touches on love, loss, trauma, healing, femininity, and migration. In this live special she performs her poetry on stage.",Amazon Prime
RIDE ON TIME,,,United States,2021,NR,3,Documentary,Johnny's is the top male idol agency in Japan. What goes on behind the scenes? This documentary series shadows the groups and individuals over the course of several weeks to give you a realistic portrayal of their lives.,Amazon Prime
Paranormal Signs Investigations,,"Alexander L., Jürgen H., Corinna P., Kurt T., Alexander P.",United States,2021,16+,2,"Documentary, Suspense, Unscripted","Abandoned Buildings. Close encounters. Mysterious answers. In the second season, too, the team explores inexplicable phenomena. ""The new season is absolutely in the mood for a sequel"". No wonder, P.S.I brings along the Austrian charm. """,Amazon Prime
My Magic Pet Morphle - Songs for Kids,,,United States,2021,ALL,1,Kids,"Morphle can morph into anything his human companion Mila wants. From dinosaurs to cars, and animals like cats, dogs, and lions! Your kids will love these fun, and educational videos for kids! They will learn colors, shapes, numbers, the alphabet, and more! Sing along to some of the classic nursery rhymes, original songs, or watch these educational cartoons that your kids will surely enjoy!",Amazon Prime
Fernando 4K UHD (Dubbed),,,United States,2021,7+,2,"Documentary, Sports","Two years after his retirement from Formula 1, Fernando Alonso returns to the team with which he won two world championships.",Amazon Prime
Fernando 4K UHD,,,United States,2021,7+,2,"Documentary, Sports","Two years after his retirement from Formula 1, Fernando Alonso returns to the team with which he won two world championships.",Amazon Prime
Fernando (Dubbed),,,United States,2021,7+,2,"Documentary, Sports","Two years after his retirement from Formula 1, Fernando Alonso returns to the team with which he won two world championships.",Amazon Prime
Fernando,,,United States,2021,7+,2,"Documentary, Sports","Two years after his retirement from Formula 1, Fernando Alonso returns to the team with which he won two world championships.",Amazon Prime
If Paris Downcast,,"Kan Qing Zhi, Zhang Han",United States,2018,13+,1,"Drama, Romance","Fresh out of prison after getting mixed up in her boyfriend's corporate crimes, disbarred & disgraced lawyer Man Jun discovers that the ex she sacrificed everything for has gotten married. Now, she's determined to stand on her own two feet, even when she meets a kindred spirit in Tong Zhuo Yao...",Amazon Prime
Dragon Half,,"Kotono Mitsuishi, Mariko Kouda, Taeko Kawata",United States,1993,16+,1,"Action, Comedy, Science Fiction",Mink-the daughter of a dragon and a retired dragon slayer-sets out on a journey to find love and gets into a fighting tournament along the way!,Amazon Prime
The Harvard Psychologist,,"Tommy Fury, Mauricio Viteri, Mark Wither",United States,2021,TV-MA,1,TV Shows,Henry Millard tells his story of how he becomes Edward Atkins a serial killer in this Pilot Episode.,Amazon Prime
Super Wings,,"Chasden Gilson-Walker, Cassandra Lee Morris, Bill Rogers, Travis Burnett, Braylyx Rivera-Babbey, Sophia Vernon",United States,2019,TV-Y,4,"Animation, Kids","Super Wings is an action-packed upper-preschool series about friendship and teamwork. Jett is an adorable plane who travels around different cities in the world, delivering packages to children. Jett will encounter some challenges, but get around each situation with the help of his friends. In Season 4, our Super Wings heroes transform into an upgraded mode with the help of Supercharge.",Amazon Prime
Monty & Co,,"Nigel Plaskitt, Heather Tobias, Nix Wood, Andrew Linnie",United States,2020,7+,1,Kids,"Monty & Co is musical puppet sitcom series for pre-school children. Each episode is a mini-drama with strong characters and plot. While the story telling is mainly comic (and no stranger to slapstick) it can also deal with issues of sadness, anger and fear and resolve them within the story. The shows are packed with fun, joy, and silliness; all things that children and their families will love.",Amazon Prime
Action Figure Adventure,,"Jay Bartlett, Rob McCallum, Kevin Smith, Steve Sansweet, William T. Benecke, Tom Kalinske, Brian Flynn, Jordan C. Morris, Glenn Stanway, Mark Taylor",United States,2020,16+,1,Science Fiction,Follow collector Jay Bartlett across North America as he attempts to build the ultimate action figure auction in the name of charity!,Amazon Prime
Girl Chill,,"Robert Michael, Roz Stanley, Janine Gateland, Katherine Munroe, Delanie Weidrich, Dionne Neish, Sandra De Sousa, Shante Reece, Benjamin Keller, Luke Steinborn",United States,2021,13+,1,TV Shows,"3 desperate city dwellers fight to follow their hearts and dreams, and desperate measures must be taken.",Amazon Prime
The Californians,,"Richard Cooga, Sean McClory, Carole Mathews",United States,1959,13+,2,Western,"San Franciscans during the goldrush of the 1850s attempt to maintain law and order in their wild city. Newly arrived Matthew Wayne becomes sheriff, then marshal, and organizes the city police force while expressing interest in the young widow Fanzler and sparring with attorney Pitt.",Amazon Prime
Future is Wild,,"Taylor Abrahamse, Marc Donato, Rob Tinkler, Rick Jones, Julie Lemieux, Paul Haddad, Sunday Muse, Stacey DePass",United States,2008,TV-G,1,"Animation, Kids","CG, Ethan, Emily and Luis are propelled into the future to solve the mysteries of Earth's evolution.",Amazon Prime
Top Gear (UK),,"Matt Leblanc, Chris Harris, Rory Reid",United States,2018,TV-14,15,"Comedy, Documentary, Special Interest","Matt LeBlanc, Chris Harris, Rory Reid and The Stig are back, with guest appearances from German driving legend Sabine Schmitz. Expect Top Gear’s trademark array of stunning photography, state-of-the-art supercars, celebrity guests and a healthy disrespect for presenter safety, as well as the hottest new cars and the not-so-hot old cars, that actually do get quite hot.",Amazon Prime
KasaK Rahay Gi,,"Noor Hasan, Zainab Ahmed, Faizan Khawaja, Adla Khan, Sakina Samoo",United States,2018,13+,1,"Drama, Romance","After loss of parents, Rabiya & Fasih are adopted by their aunt Nasira Begum. But her arrogant son Daniyal treats them like poor relatives. Daniyal is forced to marry Rabiya, he treats her harshly after marriage. But a twist in the story emerges when his brother in law Fasih gets married to the beautiful but selfish Iman who instantly wins Daniyal's heart. Will Nasira let Daniyal divorce Rabiya?",Amazon Prime
JARRETTS,,"WILLIE D DAVIS, JANELL HUGHES-CHANEY, SHAWN PIERCE, CORLISS REESE",United States,2021,16+,1,TV Shows,"Jarrett is a comedic TV series about nothing going on in 4 black friends life living in the urban community. Jarretts is set mostly in an apartment building in the slums of Atlanta GA. It has been described as ""a show about nothing,"" often focusing on the minutiae of daily life.",Amazon Prime
Chronofilm,,"Joseph Hypes, Madison Mitchell, Colton Dennis, Patrick Nalty, Tina de Leon",United States,2021,13+,1,"Science Fiction, Suspense","A team of investigators travels back in time with the Chronofilm Institute, observing history but never interfering. Eventually, they will have to decide whether to keep their past intact or change it for the hope of a better future.",Amazon Prime
Back To The Rafters,,"Rebecca Gibney, Erik Thomson, Hugh Sheridan, Angus McLaren, Georgina Haig, Willow Speers, HaiHa Le, George Houvardas, Michael Caton",United States,2021,NR,1,Drama,"Back to the Rafters picks up six years since we last saw the Rafter family. Dave and Julie have created a new life in the country with youngest daughter Ruby, while the older Rafter children face new challenges and Grandad Ted struggles to find his place. As Dave enjoys his new-found freedom, Julie must reconcile her responsibilities to the family.",Amazon Prime
YoYo,,,United States,2021,ALL,1,"Animation, Kids","Two twins, one boy and one girl, with very different personalities. They have two things in common - extremely vivid imaginations and the same name, Yo! They can be upbeat or sad, noisy or quiet, they can bicker like other children or laugh out loud. When they work together, they'll prove two heads are better than one!",Amazon Prime
The Wheel of Time,,"Rosamund Pike, Daniel Henney, Josha Stradowski, Madeleine Madden, Zoë Robins, Marcus Rutherford, Barney Harris",United States,2021,TV-14,1,"Adventure, Drama, Fantasy","Set in an epic fantasy world, The Wheel of Time follows Moiraine (Rosamund Pike), a member of the incredibly powerful all-female organization called the Aes Sedai, as she arrives in the small town of Two Rivers. There, she embarks on a dangerous, world-spanning journey with five young villagers, one of whom is prophesied to be the Dragon Reborn... the one who will either save or destroy humanity.",Amazon Prime
Speak UP: Empower Your Ideas,,,United States,2021,7+,2,Special Interest,Inspiring leaders take the stage to share their personal stories before a live audience.,Amazon Prime
David Copperfield (1999),,"Bob Hoskins, Daniel Radcliffe, Pauline Quirke, Trevor Eve, Nicholas Lyndhurst, Amanda Ryan, Ciaran McMenamin, Emilia Fox, Imelda Staunton, Tom Wilkinson",United States,2000,TV-PG,1,TV Shows,"The tale of David Copperfield from his birth and idyllic upbringing through hardship and adventure leading to his eventual discovery of his vocation as a novelist. On his journey David encounters a gallery of Dickens' most memorable characters, including Mr. Micawber, Uriah Heep, Steerforth and others.",Amazon Prime
Crime and Punishment,,"John Simm, Ian Thompson, Geraldine James, Kate Ashfield",United States,2002,18+,1,"Drama, Suspense","Crime And Punishment is the ultimate psychological thriller, steeped in powerful themes of guilt and retribution, set in St Petersburg in the second half of the 19th century. Raskolnikov is a highly intelligent and striking young student who decides to test his courage and integrity by killing a mean old woman whom he is sure nobody will miss.",Amazon Prime
The Target List,,"Jessica Culaciati, Charlie Manoukian, Jude Ault",United States,2021,16+,1,"Action, Horror","After announcing a ground-breaking cancer cure, the four members of the research team are targeted by an assassin hired by the big pharma. Two researchers escape the attack, only to find themselves on the killer's target list.",Amazon Prime
X-Ray 1C Test Title,,,United States,2021,NR,1,TV Shows,Test Season,Amazon Prime
Subete a mi Moto (4K UHD),,"Yamil Ureña, Braulio Castillo, Sisan Chiong, Edgar Cuevas, Joseette Vidal, Rocio Verdejo, Azul Guaita, Elaine Haro",United States,2020,TV-NR,1,Drama,"In 1979, in Caguas, Puerto Rico, at the initiative of an ambitious and skilled businessman named Edgardo Díaz, a group was born that laid the foundations for the ""boy bands"" that still exist today. Creating never-before-seen rules and a work style that had never been implemented before, he developed a group that continues to be the benchmark for all other Hispanic youth bands.",Amazon Prime
Subete a mi Moto,,"Yamil Ureña, Braulio Castillo, Sisan Chiong, Edgar Cuevas, Joseette Vidal, Rocio Verdejo, Azul Guaita, Elaine Haro",United States,2020,TV-NR,1,Drama,"In 1979, in Caguas, Puerto Rico, at the initiative of an ambitious and skilled businessman named Edgardo Díaz, a group was born that laid the foundations for the ""boy bands"" that still exist today. Creating never-before-seen rules and a work style that had never been implemented before, he developed a group that continues to be the benchmark for all other Hispanic youth bands.",Amazon Prime
Jungle Beat,,,United States,2021,ALL,1,"Animation, Kids",The Jungle Beat Explorers are four intrepid adventurers on a slapstick mission of discovery!,Amazon Prime
Honey and Clover,,"Yuuji Ueda, Takako Honda, Haruka Kudou",United States,2005,13+,1,"Comedy, Drama, Romance","A heartwarming tale of youth, love, soul-searching, and self-discovery, intricately woven through the complex relationships between five friends at an arts college.",Amazon Prime
Bakugan Battle Brawlers,,"Scott McCord, Jason Deline, Julie Lemieux",United States,2009,TV-PG,1,"Animation, Anime, Kids","Join Dan and his friends as they battle their Bakugan Brawlers to save Vestroia and Earth, and to restore peace throughout the two dimensions.",Amazon Prime
All Or Nothing: Toronto Maple Leafs,,,United States,2021,TV-14,1,Sports,"The first of the All or Nothing franchise to follow an NHL team, the docu-series brings fans closer to the Toronto Maple Leafs organization than ever before, with cameras capturing every moment during the 104th NHL regular season and playoffs.",Amazon Prime
Voltaire High,,"Pierre Deladonchamps, Nina Meurisse, Maud Wyler, Anne Le Ny, Gérald Laroche, François Rollin, Léonie Souchaud, Anouk Villemin, Lula Cotton Frapier, Nathan Parent, Baptiste Masseline, Gaspard Meier-Chaurand, Vassili Schneider",France,2021,18+,1,Drama,"It’s the first day of the 1963 school year at Voltaire High! And for the first time, girls and boys will mingle. This first year of coeducation is full of surprises, both for teachers and students.",Amazon Prime
GD,,michael simmons,United States,2021,16+,1,"Action, Drama","In the 1930s,America was just finding their mark on economics,this story tells the life and struggles of the urban community and their attempt to fit in the new way of life,there is always one that stands out,he was GD",Amazon Prime
Club Mundo Kids,,"Romina Puga, Melanie Bartley, Zoe Rose Palladino",United States,2021,ALL,1,TV Shows,"Join Romi and her puppet friends at Club Mundo Kids for a  journey of exploration through colorful animations, a Q&A with real kids and experts, and a mysterious secret cave with special guests! Romi's clubhouse celebrates the multicultural identities of our Hispanic and Latinx audience while encouraging curiosity and the idea that we never stop learning!",Amazon Prime
Big Freedia: Queen of Bounce,,Big Freedia,United States,2016,TV-14,1,"Documentary, Special Interest, Unscripted",Get in Formation because the critically acclaimed series Big Freedia: The Queen of bounce is back for an electrifying Fifth Season!,Amazon Prime
Tom Jones,,"Max Beesley, Samantha Morton, Benjamin Whitlow, Brian Blessed",United States,1997,16+,1,Drama,"A ribald and rowdy romp through the mansions and taverns of Georgian England. Henry Fielding's fallen hero bed-hops his way out of a good home and almost into a hangman's noose, via a series of misadventures and misunderstandings.",Amazon Prime
The VAR Room,,"Anthony Richardson, Tendayi Jembere, Ashley Margolis, Mark Davison, Nimisha Odedra, Paul Ince, Teddy Sheringham, Mark Clattenburg",United States,2021,16+,1,Comedy,Three hopeless VAR referees at Stockley Park end up in hot water after a string of bad decisions and a leaked TikTok video turns their world upside down.,Amazon Prime
SslmRegUsTV02SourceSERIES,,"Test Actor 1, Test Actor 2",United States,2020,TV-G,1,"Comedy, Drama",sslmRegUsTV02SourceSEASON short description,Amazon Prime
Momo Character Classic,,,United States,2014,TV-Y,3,"Animation, International, Kids","Tang Poetry is used in a fun and animated way to teach social skills, manners and Chinese culture to kids.",Amazon Prime
MI HISTORIA,,"Juanes, Mon Laferte, Nicky Jam, Ozuna, Residente",United States,2021,TV-NR,1,Music Videos and Concerts,Amazon Music presenta una serie biográfica sobre tus artistas favoritos de la música Latina.,Amazon Prime
Christmas Through the Decades,,Matt Blake,United States,2015,TV-PG,1,"Documentary, Kids, Special Interest","From popular music to TV specials, movies, toys and more, Christmas Through the Decadesexplores the traditions, fads, and gifts of Christmases past, beginning with the 1960s. Each episode includes interviews from pop-culture experts and celebrities.",Amazon Prime
Top Gear: Extra Gear,,"Matt Leblanc, Chris Harris, Rory Reid",United States,2018,TV-14,3,TV Shows,Presenters Rory Reid and Chris Harris take viewers behind the scenes of Top Gear Season 25.,Amazon Prime
The Carlos Watson Show,,Carlos Watson,United States,2021,16+,2,"Documentary, Talk Show and Variety","Welcome to the Carlos Watson Show: a new breed of talk show where we're having meaningful conversations with the game-changers and change-makers who are ahead of their time, and worthy of yours. Emmy-winning journalist Carlos Watson, co-founder and CEO of OZY, has earned praise for his ability to persuade high-profile guests to open up on a wide range of topics on camera.",Amazon Prime
Pet Alien Season 1,,,United States,2005,TV-Y7,1,"Animation, Comedy, Kids","Tommy Cadle's life is turned upside down when a group of wild and outrageous aliens crash into his world. Taking refuge in his lighthouse and taking over his life, the young earth boy struggles to educate his house guests about the way things are done on Earth. But the uninvited aliens have their own ideas about what's best for Tommy and his fabulous little mudball of a planet.",Amazon Prime
Desmond's,,"Norman Beaton, Carmen Munroe, Ram John Holder, Kim Walker, Geff Francis, Gyearbuor Asante",United States,1994,13+,6,Comedy,"All good things must come to an end... In the final series, hellfire preachers, demonic computer games and hellish weather conspire to bring down Desmond but, as always, he comes up smiling.",Amazon Prime
SslmRegUsTV002TargetSERIES,,"Test Actor 1, Test Actor 2",United States,2020,TV-G,1,TV Shows,sslmRegUsTV002TargetSEASON short description,Amazon Prime
Let's Play Guess What I Am,,,United States,2015,TV-Y,3,"Animation, International, Kids",Can you guess the object? Watch kids explore common items and describe what they do.,Amazon Prime
Kitchen,,"Frank Gallagher, Eddie Izzard, Natalie J Robb, James Young, Charlene McKenna",United States,2007,16+,1,"Drama, Suspense","Avoiding prison Danny Swift has been placed in the kitchen at one of Glasgow's top restaurants, but his probation officer is determined to make his life hell. His talent inspires jealousy in his colleagues, and he quickly becomes his own worst enemy. He can either live a life of crime or he can make something of his talent and play it straight. But ultimately which road will he choose?",Amazon Prime
Grenzlichter - Contact to the Otherworld,,"René, Maria, Sarah, Andreas",United States,2021,16+,1,"Drama, Horror, Suspense","Immerse yourself in the paranormal world with border lights, and see how the contact to the otherworld is made. In the individual episodes you see investigations in different places. Abandoned buildings, ruins and places where paranormal activities are possible. Every place brings its own own story with.",Amazon Prime
The Collection,,"Mamie Gummer, Jenna Thiam, Max Deacon, Richard Coyle, Tom Riley, Frances de la Tour",United States,2017,16+,1,"Drama, Historical","A gripping family drama and entrepreneurial fable, set in a post-war Paris fashion house. It exposes the grit behind the glamour of a rising business, spearheaded by two clashing brothers. The atelier staff survived one war, but others loom; rivalries and romances pitting family against family, protégés against mentors, the past against the future.",Amazon Prime
Momo DIY,,,United States,2014,TV-Y,5,"Animation, International, Kids","Learn to make fun toys, crafts and decorative items in kid-friendly DIY projects.",Amazon Prime
Gali - Hell is Empty,,"Manoj Nandan, Tanya Choudhury, Naval Kishore, Chalaki Chanti, Babloo",United States,2021,16+,1,Horror,"Dhruv and Deekha's love life and marriage life, Dhruv and his colleages finds a paranormal activity at Dhruvs house and tries to find a solution with the help of paranormal activist Swetha. Dhurv Friends tried to capture the paranormal activity with CC cameras and unexpectedly they found an old mobile phone mounted over the CC camera.",Amazon Prime
The Kings,,,United States,2021,TV-MA,1,TV Shows,Included with Prime until 10/15. Four champions defined one of the greatest eras of boxing history.,Amazon Prime
Wild & Free: Florianópolis,,"Anna Retonde, Beatriz Garcia, Felipe Titto, Jerry Smith, John Drops, Lexa, Luan Cavati, MC Carol, Murilo Pereira, Nathalia Lucena, Pabllo Vittar, Ramon Bernardes, Taynara Nunes",United States,2021,18+,2,"International, Unscripted","Bia, Ramon, Tay, Luan, Nath and Murilo are back in Floripa for their summer vacation. This time a new friend called Anna is with them to get up to all kinds of crazy stuff while exploring the magic island natural beauty and nightlife attractions.",Amazon Prime
Uprising,,,United States,2021,16+,1,Documentary,"The extraordinary story of three intertwined events from 1981: the New Cross Fire, which killed 13 young black people; the Black People’s Day of Action; and the Brixton riots.",Amazon Prime
Tugged,,"Liam Gist, Zakiya Mathews, Ashley Mathaw, Chelley Chelle",United States,2021,18+,1,"Drama, Romance","Bree takes her first breath as a free woman as she is released from serving her sentence for credit card fraud after the 2020 Pandemic in Los Angeles. She took charges for her Boyfriend Shaun, who was late to pick her up. Once a Bonnie & Clyde kind of love, now, they fight and fuss at each other after losing everything, both of them are holding on to grudges and pain.",Amazon Prime
RE:TV,,,United States,2021,ALL,1,Documentary,RE:TV is a showcase for inspiring innovations and ideas that point the way towards a sustainable future.,Amazon Prime
Rafa Nadal Academy,,,United States,2021,7+,1,"Documentary, Sports",See what life is like at the Rafa Nadal Academy by Movistar through some of the most promising tennis players in the world. Live an entire season with eight junior and professional players.,Amazon Prime
Holby Blue,,"Cal MacAninch, Jimmy Akingbola, Richard Harrington, Zoe Lucker, Kacey Ainsworth, Tim Pigott-Smith, James Hillier, Chloe Howman, Kieran O'Brien, Sara Powell, Joe Jacobs, Elaine Glover, David Sterne",United States,2007,16+,1,Drama,"Modern-day policing isn't just about robberies and anti-social orders in this fast-paced, thrilling drama series with topical, edgy storylines. Centered around Holby South police station, Holby Blue follows the lives and loves of its dedicated heroes.",Amazon Prime
Hargrave,,"John F. Henry II, Tom T. Simmons, SaraMia Serrander, Melissa D. Dalton, Tim McCord, Donna Madach, Marlon Correa, Joseph Covino, Marek Graham, Benajamin Hoekstra, Annette Puskas, Aldo Bigante, Andre Tinker",United States,2021,16+,1,"Drama, Science Fiction, Suspense","In the midst of serious doubts about his career and life, Detective Matthew Hargrave is contacted by a mysterious woman about her missing husband. Initially reluctant to take the case, Hargrave is compelled to investigate, triggering a series of life altering events that peel back the layers of his reality.",Amazon Prime
Go Buster - Adventures of Go Buster (Made by Little Baby Bum),,,United States,2020,ALL,7,Kids,"Go Buster is an animated online educational kids series watched all over the globe. Brought to you by the creators of Little Baby Bum, Go Buster encourages learning, creativity and fun! Learn colors, shapes and numbers with our well-loved characters!",Amazon Prime
"Do, Re & Mi",,"Jackie Tohn, Kristen Bell, Luke Youngblood",United States,2021,NR,2,"Animation, Anime, Kids","In this two-episode themed Halloween special, the Beebopsburgh birdies enjoy the spooky fun on the Day of the Pumpkin. Will Do be able to conquer his fear of scary pumpkins to enjoy the Harvest Festival with Re and Mi? And how will Mi find a way out of the scarecrow maze? With music as the answer, of course!",Amazon Prime
Clip: ACT 2 - Series 5,,1,United States,2021,ALL,1,TV Shows,1,Amazon Prime
Chaotic,,"Marc Thompson, Rebecca Soler",United States,2008,7+,1,"Animation, Kids","A group of friends find a portal to Perim, another worldly dimension, where Chaotic, a popular card game, is real.",Amazon Prime
Broker - 心跳源计划,,"Victoria Song, Leo Luo, Xu Kai Cheng, Panda Sun",United States,2021,13+,1,"Action, Drama, Romance","Qiu Jia Ning is a core member of a research lab spearheaded by the leading pharmaceutical company in the nation. As their experiment enters the clinical phase, a new researcher by the name of Zhou Xiao Shan joins the team. His sharp acumen and quiet nature attract Jia Ning's attention. In reality, he is a broker who has walked into their lives for the purpose of stealing Jia Ning's research.",Amazon Prime
Actuate algo,,"Barbara Pombo, Victoriano Pololla, Jenni Merla, Juan Ignacio Ugüet, Paula Layne",United States,2021,13+,1,Comedy,"Barbie is a 24 year-old actress. Her life goes from one audition to another. She longs to live off her career and leave the jobs she takes to survive behind. Over time, Barbie will discover how competitive it is to make it in this business, no matter how much her friends try to show her otherwise. One day Barbie will be presented with the chance of a lead, but ... to what cost?",Amazon Prime
Act 6 - Series 2,,1,United States,2021,ALL,1,TV Shows,2 after onboarding,Amazon Prime
Act 6 - Series 1,,1,United States,2021,ALL,1,Action,2 after onboarding 1,Amazon Prime
Act 5 - Series 2,,1,United States,2021,ALL,1,TV Shows,2,Amazon Prime
Act 5 - Series 1,,1,United States,2021,ALL,3,Action,1,Amazon Prime
ACT 2 - Series 6,,1,United States,2021,ALL,1,TV Shows,1,Amazon Prime
