name,location,releaseYear,rating,length,genre,Streaming Service,serverId
Sexy Beasts,,2021,0,1 Season,"British TV Shows, International TV Shows, Reality TV",Netflix,0
Too Hot to Handle: Brazil,,2021,0,1 Season,"International TV Shows, Reality TV, Romantic TV Shows",Netflix,0
Okupas,Argentina,2020,0,1 Season,"Classic & Cult TV, Crime TV Shows, International TV Shows",Netflix,0
Touch Your Heart,,2019,0,1 Season,"Crime TV Shows, International TV Shows, Romantic TV Shows",Netflix,0
Explained,United States,2021,0,3 Seasons,"Docuseries, Science & Nature TV",Netflix,0
Johnny Test,"United States, Canada",2021,0,1 Season,"Kids' TV, TV Comedies",Netflix,0
Naomi Osaka,,2021,0,1 Season,Docuseries,Netflix,0
BEASTARS,Japan,2021,0,2 Seasons,"Anime Series, International TV Shows",Netflix,0
Her Private Life,South Korea,2019,0,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",Netflix,0
Never Have I Ever,United States,2021,0,2 Seasons,"TV Comedies, TV Dramas, Teen TV Shows",Netflix,0
Heist,,2021,0,1 Season,"Crime TV Shows, Docuseries",Netflix,0
My Unorthodox Life,,2021,0,1 Season,Reality TV,Netflix,0
Ridley Jones,United States,2021,0,1 Season,Kids' TV,Netflix,0
Atypical,United States,2021,0,4 Seasons,"TV Comedies, TV Dramas, Teen TV Shows",Netflix,0
Biohackers,Germany,2021,0,2 Seasons,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",Netflix,0
How to Become a Tyrant,,2021,0,1 Season,Docuseries,Netflix,0
The Cook of Castamar,,2021,0,1 Season,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",Netflix,0
Virgin River,United States,2021,0,3 Seasons,"Romantic TV Shows, TV Dramas",Netflix,0
Elize Matsunaga: Once Upon a Crime,,2021,0,1 Season,"Crime TV Shows, Docuseries, International TV Shows",Netflix,0
RESIDENT EVIL: Infinite Darkness,"United States, Japan",2021,0,1 Season,"Anime Series, TV Horror, TV Thrillers",Netflix,0
Cat People,,2021,0,1 Season,Docuseries,Netflix,0
Dogs,United States,2021,0,2 Seasons,Docuseries,Netflix,0
The Mire,Poland,2021,0,2 Seasons,"Crime TV Shows, International TV Shows, TV Dramas",Netflix,0
The War Next-door,,2021,0,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Comedies",Netflix,0
Ask the StoryBots,United States,2019,0,3 Seasons,Kids' TV,Netflix,0
Between,Canada,2016,0,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries",Netflix,0
Chelsea,United States,2017,0,2 Seasons,"Stand-Up Comedy & Talk Shows, TV Comedies",Netflix,0
Code Lyoko,"France, Belgium",2007,0,4 Seasons,Kids' TV,Netflix,0
Colony,United States,2018,0,3 Seasons,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy",Netflix,0
Cuckoo,United Kingdom,2019,0,5 Seasons,"British TV Shows, International TV Shows, TV Comedies",Netflix,0
Derry Girls,United Kingdom,2019,0,2 Seasons,"British TV Shows, International TV Shows, TV Comedies",Netflix,0
Girl from Nowhere,Thailand,2021,0,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries",Netflix,0
Good Morning Call,Japan,2017,0,2 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies",Netflix,0
I AM A KILLER,United Kingdom,2020,0,2 Seasons,"British TV Shows, Crime TV Shows, Docuseries",Netflix,0
I Think You Should Leave with Tim Robinson,United States,2021,0,2 Seasons,TV Comedies,Netflix,0
Kim's Convenience,Canada,2021,0,5 Seasons,"International TV Shows, TV Comedies",Netflix,0
Larva,Russia,2015,0,3 Seasons,"Kids' TV, Korean TV Shows, TV Comedies",Netflix,0
Marcella,United Kingdom,2019,0,3 Seasons,"British TV Shows, Crime TV Shows, International TV Shows",Netflix,0
Midnight Diner: Tokyo Stories,Japan,2019,0,2 Seasons,"International TV Shows, TV Dramas",Netflix,0
My Little Pony: Friendship Is Magic,"United States, Canada",2018,0,8 Seasons,Kids' TV,Netflix,0
Orange Is the New Black,United States,2019,0,7 Seasons,"TV Comedies, TV Dramas",Netflix,0
Puffin Rock,"Ireland, United States, United Kingdom",2016,0,2 Seasons,Kids' TV,Netflix,0
Richie Rich,United States,2015,0,2 Seasons,"Kids' TV, TV Comedies",Netflix,0
Scream,United States,2019,0,3 Seasons,"Crime TV Shows, TV Horror, TV Mysteries",Netflix,0
Shtisel,Israel,2021,0,3 Seasons,"International TV Shows, TV Dramas",Netflix,0
Some Assembly Required,Canada,2015,0,2 Seasons,"Kids' TV, TV Comedies",Netflix,0
Tales by Light,Australia,2018,0,3 Seasons,"Docuseries, International TV Shows, Science & Nature TV",Netflix,0
Terrace House: Opening New Doors,Japan,2018,0,6 Seasons,"International TV Shows, Reality TV",Netflix,0
The A List,United Kingdom,2021,0,2 Seasons,"British TV Shows, International TV Shows, TV Dramas",Netflix,0
The New Legends of Monkey,"Australia, New Zealand",2020,0,2 Seasons,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy",Netflix,0
The Worst Witch,"United Kingdom, Germany",2020,0,4 Seasons,"British TV Shows, Kids' TV",Netflix,0
Undercover,"Belgium, Netherlands",2020,0,2 Seasons,"Crime TV Shows, International TV Shows, TV Action & Adventure",Netflix,0
Workin' Moms,Canada,2021,0,5 Seasons,"International TV Shows, TV Comedies",Netflix,0
YooHoo to the Rescue,South Korea,2020,0,3 Seasons,"Kids' TV, Korean TV Shows",Netflix,0
You Are My Spring,,2021,0,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",Netflix,0
We the People,United States,2021,0,1 Season,Kids' TV,Netflix,0
Grey's Anatomy,United States,2020,0,17 Seasons,"Romantic TV Shows, TV Dramas",Netflix,0
Big Timber,,2020,0,1 Season,"International TV Shows, Reality TV",Netflix,0
Mortel,France,2019,0,2 Seasons,"Crime TV Shows, International TV Shows, TV Dramas",Netflix,0
Bureau of Magical Things,"Australia, Germany",2020,0,1 Season,"International TV Shows, Kids' TV, TV Mysteries",Netflix,0
Generation 56k,,2021,0,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",Netflix,0
Masameer County,,2021,0,1 Season,"International TV Shows, TV Comedies",Netflix,0
Quarantine Tales,,2020,0,1 Season,"International TV Shows, TV Comedies, TV Dramas",Netflix,0
Rainbow Rangers,United States,2018,0,1 Season,Kids' TV,Netflix,0
Sailor Moon Crystal,,2016,0,3 Seasons,"Anime Series, Kids' TV",Netflix,0
Young Royals,Sweden,2021,0,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",Netflix,0
Droppin' Cash: Los Angeles,United States,2019,0,1 Season,Reality TV,Netflix,0
Legend of Exorcism,,2020,0,1 Season,"Anime Series, Crime TV Shows, International TV Shows",Netflix,0
Somos.,Mexico,2021,0,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Netflix,0
Sophie: A Murder in West Cork,,2021,0,1 Season,"British TV Shows, Crime TV Shows, Docuseries",Netflix,0
The Daily Life of the Immortal King,China,2020,0,1 Season,"Anime Series, International TV Shows, Teen TV Shows",Netflix,0
StarBeam,United States,2021,0,4 Seasons,Kids' TV,Netflix,0
The Seven Deadly Sins,Japan,2021,0,5 Seasons,"Anime Series, International TV Shows",Netflix,0
Ray,,2021,0,1 Season,"International TV Shows, TV Dramas, TV Mysteries",Netflix,0
Sex/Life,United States,2021,0,1 Season,"Romantic TV Shows, TV Dramas",Netflix,0
Godzilla Singular Point,,2021,0,1 Season,"Anime Series, International TV Shows",Netflix,0
Jiva!,,2021,0,1 Season,"International TV Shows, TV Dramas",Netflix,0
The Naked Director,Japan,2021,0,2 Seasons,"International TV Shows, TV Dramas",Netflix,0
The Parisian Agency: Exclusive Properties,,2021,0,1 Season,"International TV Shows, Reality TV",Netflix,0
Too Hot to Handle,United States,2021,0,2 Seasons,"Reality TV, Romantic TV Shows",Netflix,0
This Is Pop,,2021,0,1 Season,"Docuseries, International TV Shows",Netflix,0
The Mole,United States,2001,0,2 Seasons,"Reality TV, TV Action & Adventure, TV Mysteries",Netflix,0
"Nevertheless,",,2021,0,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",Netflix,0
Bangkok Love Stories: Innocence,Thailand,2018,0,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",Netflix,0
Black Lightning,United States,2021,0,4 Seasons,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy",Netflix,0
Call My Agent!,France,2018,0,4 Seasons,"International TV Shows, TV Comedies, TV Dramas",Netflix,0
Champions,United States,2018,0,1 Season,TV Comedies,Netflix,0
Charité at War,,2019,0,1 Season,"International TV Shows, TV Dramas",Netflix,0
Cleo & Cuquin,Spain,2020,0,2 Seasons,Kids' TV,Netflix,0
Deadwind,"Finland, Germany",2020,0,2 Seasons,"Crime TV Shows, International TV Shows, TV Dramas",Netflix,0
Gameboys Level-Up Edition,,2020,0,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",Netflix,0
Glee,United States,2015,0,6 Seasons,"TV Comedies, TV Dramas, Teen TV Shows",Netflix,0
Hap and Leonard,United States,2018,0,3 Seasons,"Crime TV Shows, TV Dramas",Netflix,0
Locked Up,Spain,2020,0,5 Seasons,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Netflix,0
No Time for Shame,Argentina,2019,0,1 Season,"International TV Shows, Reality TV, Spanish-Language TV Shows",Netflix,0
Pose,United States,2019,0,2 Seasons,TV Dramas,Netflix,0
REA(L)OVE,Japan,2018,0,1 Season,"International TV Shows, Reality TV, Romantic TV Shows",Netflix,0
